Multiplied Moves: 600 | Depth: 6| Time: 6 seconds
Multiplied Moves: 616 | Depth: 6| Time: 10 seconds
Multiplied Moves: 638 | Depth: 6| Time: 6 seconds
Multiplied Moves: 696 | Depth: 6| Time: 8 seconds
Multiplied Moves: 960 | Depth: 6| Time: 8 seconds
Multiplied Moves: 1248 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1092 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1440 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1232 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1677 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1628 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1394 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1632 | Depth: 5| Time: 5 seconds
Multiplied Moves: 1666 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1440 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1551 | Depth: 5| Time: 8 seconds
Multiplied Moves: 1485 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1248 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1312 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1505 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1444 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1634 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1764 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1476 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1332 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1512 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1932 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1886 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1760 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1886 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1848 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1764 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1640 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1840 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1176 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1044 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1102 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1221 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1044 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1080 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1120 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1064 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1032 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1247 | Depth: 5| Time: 0 seconds
Multiplied Moves: 840 | Depth: 6| Time: 0 seconds
Multiplied Moves: 989 | Depth: 6| Time: 1 seconds
Multiplied Moves: 966 | Depth: 6| Time: 0 seconds
Multiplied Moves: 946 | Depth: 6| Time: 1 seconds
Multiplied Moves: 576 | Depth: 6| Time: 0 seconds
Multiplied Moves: 585 | Depth: 6| Time: 1 seconds
Multiplied Moves: 507 | Depth: 6| Time: 0 seconds
Multiplied Moves: 546 | Depth: 6| Time: 0 seconds
Multiplied Moves: 546 | Depth: 6| Time: 0 seconds
Multiplied Moves: 585 | Depth: 6| Time: 1 seconds
Multiplied Moves: 598 | Depth: 6| Time: 0 seconds
Multiplied Moves: 690 | Depth: 6| Time: 0 seconds
Multiplied Moves: 602 | Depth: 6| Time: 0 seconds
Multiplied Moves: 588 | Depth: 6| Time: 0 seconds
Multiplied Moves: 611 | Depth: 6| Time: 0 seconds
Multiplied Moves: 600 | Depth: 6| Time: 6 seconds
Multiplied Moves: 616 | Depth: 6| Time: 4 seconds
Multiplied Moves: 726Multiplied Moves: 600 | Depth: 6| Time: 6 seconds
Multiplied Moves: 616 | Depth: 6| Time: 10 seconds
Multiplied Moves: 638 | Depth: 6| Time: 7 seconds
Multiplied Moves: 696 | Depth: 6| Time: 8 seconds
Multiplied Moves: 960 | Depth: 6| Time: 9 seconds
Multiplied Moves: 380Multiplied Moves: 640 | Depth: 6| Time: 9 seconds
Multiplied Moves: 660 | Depth: 6| Time: 13 seconds
Multiplied Moves: 858 | Depth: 6| Time: 8 seconds
Multiplied Moves: 912Multiplied Moves: 600 | Depth: 6| Time: 17 seconds
Multiplied Moves: 600 | Depth: 6| Time: 17 seconds
Multiplied Moves: 616 | Depth: 6| Time: 27 seconds
Multiplied Moves: 638 | Depth: 6| Time: 18 seconds
Multiplied Moves: 696 | Depth: 6| Time: 23 seconds
Multiplied Moves: 960 | Depth: 6| Time: 24 seconds
Multiplied Moves: 600 | Depth: 6| Time: 18 seconds
Multiplied Moves: 616 | Depth: 6| Time: 28 seconds
Multiplied Moves: 600 | Depth: 5| Time: 2 seconds
Multiplied Moves: 840 | Depth: 5| Time: 5 seconds
Multiplied Moves: 1170 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1254 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1287 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1330 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1365 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1584 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1672 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1628 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1634 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1776 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1692 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1656 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1886 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1739 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1598 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1632 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1632 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1392 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1457 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1500 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1450 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1222 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1457 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1650 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1450 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1222 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1457 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1650 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1450 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1222 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1457 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1650 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1450 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1222 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1457 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1650 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1450 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1222 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1457 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1650 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1450 | Depth: 4| Time: 0 seconds
Multiplied Moves: 1222 | Depth: 4| Time: 0 seconds
